Isolaat,amp100-1,amp100-2,amp100-3,amp100-4,amp100-5,amp100-6,amp100-7
Kan_19,0.01645714285714,0.02645714285714,0.05345714285714,0.21045714285714,0.31845714285714,0.33245714285714,
Tet_2,0.01445714285714,0.01645714285714,0.01545714285714,0.17645714285714,0.31345714285714,0.31945714285714,
Kan_32,0.18145714285714,0.26745714285714,0.35045714285714,0.46545714285714,0.50045714285714,0.47545714285714,
Cam_16,0.00345714285714,0.00345714285714,0.00245714285714,0.00245714285714,0.00245714285714,0.00245714285714,
Tet_13,0.35345714285714,0.45045714285714,0.55645714285714,0.68345714285714,0.73045714285714,0.85845714285714,
Cam_13,0.22845714285714,0.27845714285714,0.33045714285714,0.50645714285714,0.54945714285714,0.56345714285714,
Cam_19,0.22945714285714,0.32545714285714,0.42945714285714,0.72945714285714,0.71045714285714,0.77345714285714,
Kan_23,0.22145714285714,0.31745714285714,0.40545714285714,0.50945714285714,0.56545714285714,0.55745714285714,
Tet_14,0.05745714285714,0.08145714285714,0.10745714285714,0.18545714285714,0.25045714285714,0.22845714285714,
Cam_9,0.31045714285714,0.35845714285714,0.40245714285714,0.57445714285714,0.68745714285714,0.79145714285714,
Tet_4,0,0,0,0.13345714285714,0.33545714285714,0.39245714285714,
Amp_27,0.59845714285714,0.46545714285714,0.53945714285714,0.68745714285714,0.69145714285714,0.47745714285714,
Kan_1,0.23545714285714,0.30345714285714,0.36845714285714,0.51345714285714,0.61645714285714,0.62145714285714,
Amp_17,0.32345714285714,0.37345714285714,0.47845714285714,0.61545714285714,0.67145714285714,0.65545714285714,
Amp_2,0.18545714285714,0.20745714285714,0.20145714285714,0.32445714285714,0.40345714285714,0.25445714285714,
Amp_18,0.35545714285714,0.39345714285714,0.45245714285714,0.56845714285714,0.56045714285714,0.47345714285714,
Amp_19,0.19245714285714,0.16845714285714,0.19645714285714,0.27945714285714,0.25445714285714,0.19445714285714,
Amp_20,0.16845714285714,0.16445714285714,0.21845714285714,0.33445714285714,0.48745714285714,0.51345714285714,
Amp_21,0.19545714285714,0.23045714285714,0.24045714285714,0.31445714285714,0.28645714285714,0.16845714285714,
