Isolaadid,zb-1,zb-2,zb-3,zb-4,zb-5,zb-6,zb-7
Nor_171,0.11591428571429,0.14291428571429,0.16091428571429,0.23491428571429,0.35091428571429,0.42991428571429,-
Nor_176,0.19391428571429,0.24491428571429,0.30991428571429,0.49691428571429,0.55691428571429,0.51191428571429,-
Nor_218,0.14191428571429,0.16491428571429,0.19491428571429,0.32191428571429,0.61291428571429,0.63691428571429,-
Nor_208,0.08591428571429,0.10891428571429,0.13891428571429,0.20691428571429,0.32491428571429,0.31691428571429,-
Nor_177,0.08391428571429,0.09291428571429,0.09791428571429,0.11391428571429,0.09691428571429,0.10791428571429,-
Nor_168,0.16891428571429,0.19491428571429,0.22291428571429,0.37691428571429,0.58091428571429,0.64591428571429,-
Nor_186,0.17891428571429,0.22491428571429,0.28191428571429,0.43591428571429,0.52291428571429,0.55891428571429,-
Nor_181,0.13591428571429,0.16391428571429,0.18891428571429,0.27291428571429,0.32491428571429,0.18391428571429,-
Nor_187,0.00891428571429,0.00991428571429,0.01891428571429,0.11091428571429,0.12291428571429,0.12691428571429,-
Nor_197,0.16191428571429,0.23191428571429,0.32091428571429,0.41991428571429,0.52191428571429,0.62791428571429,-
Nor_196,0.11391428571429,0.16091428571429,0.20691428571429,0.30991428571429,0.42891428571429,0.47691428571429,-
Nor_211,0.13791428571429,0.18291428571429,0.21091428571429,0.25991428571429,0.22591428571429,0.21491428571429,-
Nor_212,0.11491428571429,0.14591428571429,0.19491428571429,0.31491428571429,0.38791428571429,0.38391428571429,-
Nor_202,0.00991428571429,0.02591428571429,0.04891428571429,0.15891428571429,0.37891428571429,0.39391428571429,-
Nor_230,0.01991428571429,0.02991428571429,0.03991428571429,0.06991428571429,0.14691428571429,0.18491428571429,-
Nor_225,0.02591428571429,0.04091428571429,0.05991428571429,0.09291428571429,0.16091428571429,0.20491428571429,-
Nor_234,0.08191428571429,0.10991428571429,0.13991428571429,0.29091428571429,0.51291428571429,0.52991428571429,-
Nor_240,0.10891428571429,0.14691428571429,0.19491428571429,0.27291428571429,0.31491428571429,0.32891428571429,-
Nor_235,0.14291428571429,0.17491428571429,0.20291428571429,0.27191428571429,0.39991428571429,0.63191428571429,-
Nor_224,0.07191428571429,0.08591428571429,0.10991428571429,0.16091428571429,0.18391428571429,0.16091428571429,-
Nor_250,0.11391428571429,0.14591428571429,0.18191428571429,0.24691428571429,0.37691428571429,0.48391428571429,-
Nor_191,0.09891428571429,0.12891428571429,0.16491428571429,0.22691428571429,0.37791428571429,0.43991428571429,-
Nor_172,0.02391428571429,0.03691428571429,0.04891428571429,0.07291428571429,0.11491428571429,0.14291428571429,-
Nor_193,0.01691428571429,0.02191428571429,0.03691428571429,0.07891428571429,0.10891428571429,0.13591428571429,-
Nor_173,0.12191428571429,0.13891428571429,0.17291428571429,0.21391428571429,0.37791428571429,0.43091428571429,-
Nor_207,-0.00108571428571,-0.00208571428571,-0.00208571428571,0.00491428571429,0.04891428571429,0.15791428571429,-
Nor_200,0.10591428571429,0.09791428571429,0.11491428571429,0.16191428571429,0.10291428571429,0.11191428571429,-
Nor_227,0.12291428571429,0.14991428571429,0.17791428571429,0.27891428571429,0.63391428571429,0.93291428571429,-
Nor_255,0.10791428571429,0.13191428571429,0.16291428571429,0.25291428571429,0.42391428571429,0.59191428571429,-
Nor_252,0.11791428571429,0.16091428571429,0.20191428571429,0.27591428571429,0.34691428571429,0.31791428571429,-
Nor_169,0.11491428571429,0.13891428571429,0.16091428571429,0.23391428571429,0.38391428571429,0.59091428571429,-
Nor_220,0.07191428571429,0.10891428571429,0.13291428571429,0.18791428571429,0.22491428571429,0.20391428571429,-
Nor_183,0.00891428571429,0.01491428571429,0.04491428571429,0.17991428571429,0.54691428571429,0.69091428571429,-
Nor_182,0.06591428571429,0.09491428571429,0.11891428571429,0.19191428571429,0.26091428571429,0.25891428571429,-
Amp_159,0.12974285714286,0.14374285714286,0.16474285714286,0.19774285714286,0.22774285714286,0.25674285714286,-
Amp_164,0.17974285714286,0.23774285714286,0.27074285714286,0.29374285714286,0.29374285714286,0.27074285714286,-
Amp_170,0.17774285714286,0.21574285714286,0.26974285714286,0.48274285714286,0.47474285714286,0.59974285714286,-
Amp_183,0.14274285714286,0.19474285714286,0.24874285714286,0.28274285714286,0.33174285714286,0.35874285714286,-
Amp_189,0.22674285714286,0.34474285714286,0.39374285714286,0.46374285714286,0.43174285714286,0.39174285714286,-
Amp_154,0.13674285714286,0.16074285714286,0.15974285714286,0.27374285714286,0.52474285714286,0.58274285714286,-
Amp_131,0.14074285714286,0.16874285714286,0.21774285714286,0.25074285714286,0.27574285714286,0.26274285714286,-
Amp_138,0.13674285714286,0.13774285714286,0.20474285714286,0.34974285714286,0.45874285714286,0.48874285714286,-
Amp_128,0.15974285714286,0.17774285714286,0.21174285714286,0.29374285714286,0.29474285714286,0.32274285714286,-
Amp_107,0.10974285714286,0.13874285714286,0.14774285714286,0.16874285714286,0.17574285714286,0.17074285714286,-
Amp_133,0.08874285714286,0.11274285714286,0.11374285714286,0.13974285714286,0.15874285714286,0.16474285714286,-
Amp_116,0.16674285714286,0.23374285714286,0.33674285714286,0.45574285714286,0.57874285714286,0.61174285714286,-
Amp_139,0.12174285714286,0.12474285714286,0.12174285714286,0.11774285714286,0.17374285714286,0.17974285714286,-
Amp_122,0.14874285714286,0.21074285714286,0.26574285714286,0.45874285714286,0.46874285714286,0.51574285714286,-
Amp_140,0.05474285714286,0.06474285714286,0.07174285714286,0.06674285714286,0.23374285714286,0.29874285714286,-
Kan_112,0.12874285714286,0.16674285714286,0.19274285714286,0.20774285714286,0.20074285714286,0.18574285714286,-
Kan_163,0.18474285714286,0.23674285714286,0.27474285714286,0.50774285714286,0.52174285714286,0.59074285714286,-
Kan_159,0.20974285714286,0.27974285714286,0.32974285714286,0.52974285714286,0.56174285714286,0.62274285714286,-
Kan_127,0.08174285714286,0.10374285714286,0.12874285714286,0.17874285714286,0.21474285714286,0.19774285714286,-
Kan_110,0.19774285714286,0.26674285714286,0.32074285714286,0.43774285714286,0.46974285714286,0.33574285714286,-
Kan_115,0.12174285714286,0.15574285714286,0.18174285714286,0.25674285714286,0.32674285714286,0.40174285714286,-
Kan_119,0.19274285714286,0.29074285714286,0.28974285714286,0.43874285714286,0.59974285714286,0.38374285714286,-
Kan_141,0.11374285714286,0.14174285714286,0.17074285714286,0.23774285714286,0.27874285714286,0.41774285714286,-
Kan_155,0.16974285714286,0.31474285714286,0.42474285714286,0.52974285714286,0.54174285714286,0.56974285714286,-
Kan_197,0.20374285714286,0.26174285714286,0.30774285714286,0.36774285714286,0.34574285714286,0.37174285714286,-
Kan_183,0.13174285714286,0.16274285714286,0.18774285714286,0.27874285714286,0.33474285714286,0.38574285714286,-
Kan_172,0.14874285714286,0.18374285714286,0.24074285714286,0.43974285714286,0.46274285714286,0.47874285714286,-
Kan_177,0.17574285714286,0.22274285714286,0.26374285714286,0.43474285714286,0.41274285714286,0.54974285714286,-
Kan_194,0.18874285714286,0.24474285714286,0.28174285714286,0.51874285714286,0.54374285714286,0.58374285714286,-
Kan_175,0.05774285714286,0.07174285714286,0.06874285714286,0.12374285714286,0.12574285714286,0.18874285714286,-
Kan_170,0.12974285714286,0.17274285714286,0.19374285714286,0.25374285714286,0.21574285714286,0.22674285714286,-
Kan_181,0.17074285714286,0.21674285714286,0.25674285714286,0.31174285714286,0.47974285714286,0.54474285714286,-
Kan_118,0.15474285714286,0.24074285714286,0.30574285714286,0.47674285714286,0.63474285714286,0.72774285714286,-
Kan_132,0.17074285714286,0.22374285714286,0.28074285714286,0.41074285714286,0.38874285714286,0.53374285714286,-
Kan_122,0.10974285714286,0.13674285714286,0.17974285714286,0.24474285714286,0.43374285714286,0.61474285714286,-
Kan_189,0.14574285714286,0.18174285714286,0.21874285714286,0.31074285714286,0.46874285714286,0.50674285714286,-
Kan_146,0.16074285714286,0.19074285714286,0.21174285714286,0.24674285714286,0.21974285714286,0.23674285714286,-
Kan_190,0.12074285714286,0.14774285714286,0.18174285714286,0.26374285714286,0.27474285714286,0.36674285714286,-
Kan_201,-0.01425714285714,-0.01325714285714,-0.01025714285714,0.02174285714286,0.08074285714286,0.13074285714286,-
Kan_139,0.10974285714286,0.14074285714286,0.17174285714286,0.32574285714286,0.44474285714286,0.56974285714286,-
Tet_84,0.18674285714286,0.25574285714286,0.31474285714286,0.47374285714286,0.53174285714286,0.53174285714286,-
Tet_79,0.12074285714286,0.14874285714286,0.17774285714286,0.44774285714286,0.53174285714286,0.56274285714286,-
Tet_83,0.26774285714286,0.34774285714286,0.39374285714286,0.67874285714286,0.91174285714286,0.76074285714286,-
Tet_108,0.22074285714286,0.28174285714286,0.29174285714286,0.55174285714286,0.60274285714286,0.64774285714286,-
Tet_113,0.26374285714286,0.30874285714286,0.35674285714286,0.51674285714286,0.58174285714286,0.61574285714286,-
Tet_81,0.15774285714286,0.21774285714286,0.28874285714286,0.48474285714286,0.55174285714286,0.56574285714286,-
Tet_97,0.22874285714286,0.26074285714286,0.30174285714286,0.45374285714286,0.52374285714286,0.61074285714286,-
Tet_107,0.20974285714286,0.24674285714286,0.28174285714286,0.42074285714286,0.46674285714286,0.45674285714286,-
Tet_112,0.10474285714286,0.13474285714286,0.15474285714286,0.31374285714286,0.33974285714286,0.49174285714286,-
Tet_117,0.19774285714286,0.29974285714286,0.37474285714286,0.43574285714286,0.36374285714286,0.35774285714286,-
Tet_122,0.16774285714286,0.20074285714286,0.23774285714286,0.38074285714286,0.42974285714286,0.41174285714286,-
Tet_129,0.19674285714286,0.22874285714286,0.28774285714286,0.47874285714286,0.46774285714286,0.52474285714286,-
Tet_125,0.22374285714286,0.24374285714286,0.27974285714286,0.49474285714286,0.59474285714286,0.73774285714286,-
Tet_126,0.12574285714286,0.15574285714286,0.19974285714286,0.40274285714286,0.51074285714286,0.56774285714286,-
Tet_105,0.20774285714286,0.24774285714286,0.29374285714286,0.45374285714286,0.53174285714286,0.56374285714286,-
Tet_100,0.13274285714286,0.15874285714286,0.19474285714286,0.28974285714286,0.47074285714286,0.52274285714286,-
Tet_158,0.24574285714286,0.28474285714286,0.31574285714286,0.45574285714286,0.50574285714286,0.53774285714286,-
Tet_147,0.15974285714286,0.23274285714286,0.27674285714286,0.42074285714286,0.47174285714286,0.51974285714286,-
Tet_155,0.12674285714286,0.16674285714286,0.19074285714286,0.31374285714286,0.38874285714286,0.54474285714286,-
Tet_143,0.24374285714286,0.29074285714286,0.34174285714286,0.49674285714286,0.50974285714286,0.49974285714286,-
Tet_140,0.19674285714286,0.21274285714286,0.29774285714286,0.48374285714286,0.60674285714286,0.74474285714286,-
Tet_145,0.15374285714286,0.21474285714286,0.28574285714286,0.48474285714286,0.61674285714286,0.70574285714286,-
Tet_146,0.17674285714286,0.19374285714286,0.20674285714286,0.56674285714286,0.67074285714286,0.71774285714286,-
Tet_138,0.25674285714286,0.31274285714286,0.33874285714286,0.53574285714286,0.59574285714286,0.74974285714286,-
Tet_182,0.27803333333333,0.29503333333333,0.31203333333333,0.40303333333333,0.49603333333333,-,-
Tet_181,0.27703333333333,0.30803333333333,0.33303333333333,0.39003333333333,0.61203333333333,-,-
Tet_187,0.23803333333333,0.27903333333333,0.31703333333333,0.43803333333333,0.53603333333333,-,-
Tet_186,0.25703333333333,0.32303333333333,0.35803333333333,0.51303333333333,0.69503333333333,-,-
Tet_216,0.25403333333333,0.26503333333333,0.29903333333333,0.46203333333333,0.62803333333333,-,-
Tet_200,0.27103333333333,0.32403333333333,0.35803333333333,0.49703333333333,0.66003333333333,-,-
Tet_211,0.36703333333333,0.43903333333333,0.50403333333333,0.71503333333333,0.82303333333333,-,-
Tet_196,0.35403333333333,0.40603333333333,0.56903333333333,0.77103333333333,0.83303333333333,-,-
Tet_201,0.40803333333333,0.47903333333333,0.50003333333333,0.62303333333333,0.57503333333333,-,-
Tet_206,0.20403333333333,0.26803333333333,0.31303333333333,0.49203333333333,0.62103333333333,-,-
Tet_197,0.30703333333333,0.35803333333333,0.48303333333333,0.71203333333333,0.83503333333333,-,-
Tet_202,0.21603333333333,0.26903333333333,0.31203333333333,0.41503333333333,0.55503333333333,-,-
Tet_191,0.12703333333333,0.17703333333333,0.22103333333333,0.36303333333333,0.52003333333333,-,-
Cam_182,0.32903333333333,0.37703333333333,0.41103333333333,0.51103333333333,0.62603333333333,-,-
Cam_164,0.36203333333333,0.41303333333333,0.43203333333333,0.61203333333333,0.47103333333333,-,-
Cam_175,0.37603333333333,0.41803333333333,0.46003333333333,0.50603333333333,0.63803333333333,-,-
Cam_158,0.22403333333333,0.25103333333333,0.27803333333333,0.40803333333333,0.49203333333333,-,-
Cam_167,0.33903333333333,0.35003333333333,0.38003333333333,0.40703333333333,0.56703333333333,-,-
Cam_162,0.21203333333333,0.28303333333333,0.32703333333333,0.44503333333333,0.54503333333333,-,-
Cam_183,0.30703333333333,0.34903333333333,0.36003333333333,0.46403333333333,0.55003333333333,-,-
Cam_193,0.13003333333333,0.17403333333333,0.20303333333333,0.29603333333333,0.35603333333333,-,-
Cam_190,0.13203333333333,0.18503333333333,0.21703333333333,0.32403333333333,0.40403333333333,-,-
Cam_178,0.35303333333333,0.37103333333333,0.38603333333333,0.50003333333333,0.49203333333333,-,-
Cam_197,0.14703333333333,0.20503333333333,0.24803333333333,0.37403333333333,0.47803333333333,-,-
Cam_203,0.33603333333333,0.36703333333333,0.41203333333333,0.54503333333333,0.60903333333333,-,-
Cam_198,0.26103333333333,0.30103333333333,0.34303333333333,0.44803333333333,0.61003333333333,-,-
Cam_185,0.20803333333333,0.26103333333333,0.28303333333333,0.37103333333333,0.46903333333333,-,-
Cam_171,0.25803333333333,0.30803333333333,0.36003333333333,0.51903333333333,0.53603333333333,-,-
Cam_200,0.25603333333333,0.30103333333333,0.31903333333333,0.43603333333333,0.50003333333333,-,-
Cam_160,0.16103333333333,0.20703333333333,0.23603333333333,0.32303333333333,0.27003333333333,-,-
Cam_161,0.08203333333333,0.11203333333333,0.12603333333333,0.16603333333333,0.20603333333333,-,-
Tet_185,0.33903333333333,0.34803333333333,0.35903333333333,0.42103333333333,0.54003333333333,-,-
Tet_184,0.37303333333333,0.41503333333333,0.47603333333333,0.62903333333333,0.69803333333333,-,-
Tet_217,0.12603333333333,0.18103333333333,0.21603333333333,0.33003333333333,0.43303333333333,-,-
Tet_207,0.09803333333333,0.14803333333333,0.18403333333333,0.27803333333333,0.34303333333333,-,-
Tet_188,0.20903333333333,0.15103333333333,0.13103333333333,0.15803333333333,0.24303333333333,-,-
Tet_193,0.09203333333333,0.12903333333333,0.17303333333333,0.33703333333333,0.52703333333333,-,-
Tet_176,0.11103333333333,0.15203333333333,0.18703333333333,0.28503333333333,0.47203333333333,-,-
Tet_203,0.19003333333333,0.13503333333333,0.12003333333333,0.16103333333333,0.18303333333333,-,-
Tet_179,0.36103333333333,0.35103333333333,0.36203333333333,0.48103333333333,0.50203333333333,-,-
Tet_222,0.20303333333333,0.23003333333333,0.25803333333333,0.36003333333333,0.36003333333333,-,-
Tet_212,0.18303333333333,0.19103333333333,0.19203333333333,0.15403333333333,0.14903333333333,-,-
Tet_218,0.24403333333333,0.29003333333333,0.34003333333333,0.45703333333333,0.67803333333333,-,-
Tet_189,0.30703333333333,0.34603333333333,0.35503333333333,0.40003333333333,0.41803333333333,-,-
Cam_168,0.16103333333333,0.22103333333333,0.25203333333333,0.34903333333333,0.41803333333333,-,-
Cam_187,0.25603333333333,0.25703333333333,0.23503333333333,0.20203333333333,0.14603333333333,-,-
Cam_186,-0.00496666666667,-0.00296666666667,-0.00096666666667,-0.00196666666667,-0.00296666666667,-,-
Tet_221,0.01803333333333,0.04503333333333,0.07803333333333,0.15103333333333,0.17603333333333,-,-
Tet_205,0.13203333333333,0.18303333333333,0.21603333333333,0.30403333333333,0.39803333333333,-,-
Tet_175,0.14603333333333,0.21003333333333,0.25803333333333,0.38403333333333,0.47003333333333,-,-
Cam_191,0.07603333333333,0.11903333333333,0.14503333333333,0.21603333333333,0.30103333333333,-,-
Cam_195,0.12803333333333,0.17603333333333,0.20603333333333,0.31103333333333,0.37403333333333,-,-
Tet_177,0.32303333333333,0.33703333333333,0.36403333333333,0.40603333333333,0.42903333333333,-,-
Amp_202,0.34903333333333,0.38003333333333,0.40703333333333,0.60003333333333,0.61203333333333,-,-
Amp_199,0.24203333333333,0.28103333333333,0.33103333333333,0.46603333333333,0.58103333333333,-,-
Amp_203,0.38703333333333,0.44103333333333,0.44003333333333,0.61803333333333,0.59403333333333,-,-
Amp_252,0.36703333333333,0.39903333333333,0.42403333333333,0.53103333333333,0.56403333333333,-,-
Amp_257,0.40303333333333,0.43903333333333,0.47803333333333,0.60703333333333,0.61603333333333,-,-
Amp_251,0.39203333333333,0.44103333333333,0.45303333333333,0.56803333333333,0.65703333333333,-,-
Amp_249,0.38903333333333,0.41903333333333,0.45203333333333,0.58203333333333,0.63203333333333,-,-
Amp_244,0.37403333333333,0.43003333333333,0.48503333333333,0.52603333333333,0.68503333333333,-,-
Amp_236,0.31603333333333,0.43403333333333,0.46903333333333,0.70103333333333,0.80303333333333,-,-
Amp_231,0.24903333333333,0.32903333333333,0.35203333333333,0.48003333333333,0.66203333333333,-,-
Amp_245,0.37903333333333,0.42403333333333,0.44603333333333,0.46503333333333,0.58903333333333,-,-
Amp_214,0.28003333333333,0.31303333333333,0.34203333333333,0.36403333333333,0.44003333333333,-,-
Amp_241,0.45503333333333,0.47803333333333,0.51103333333333,0.61103333333333,0.55303333333333,-,-
Amp_242,0.29603333333333,0.32703333333333,0.35303333333333,0.41803333333333,0.41403333333333,-,-
Amp_232,0.25603333333333,0.29803333333333,0.32003333333333,0.37603333333333,0.39303333333333,-,-
Amp_233,0.30103333333333,0.32703333333333,0.35703333333333,0.47803333333333,0.52603333333333,-,-
Amp_239,0.30203333333333,0.34903333333333,0.39103333333333,0.44203333333333,0.58903333333333,-,-
Amp_227,0.38603333333333,0.42603333333333,0.44603333333333,0.59603333333333,0.74603333333333,-,-
Amp_238,0.26403333333333,0.31903333333333,0.36003333333333,0.49203333333333,0.61203333333333,-,-
Amp_235,0.37003333333333,0.40803333333333,0.41503333333333,0.56303333333333,0.61503333333333,-,-
Amp_221,0.37803333333333,0.42403333333333,0.45703333333333,0.60903333333333,0.74603333333333,-,-
Amp_206,0.42403333333333,0.47303333333333,0.49403333333333,0.63103333333333,0.44803333333333,-,-
Amp_217,0.28903333333333,0.33303333333333,0.36903333333333,0.44103333333333,0.72603333333333,-,-
Amp_218,0.34903333333333,0.40103333333333,0.43203333333333,0.58603333333333,0.76203333333333,-,-
Amp_225,0.27703333333333,0.29703333333333,0.30603333333333,0.38603333333333,0.49603333333333,-,-
Amp_229,0.50803333333333,0.51303333333333,0.56803333333333,0.76603333333333,0.83903333333333,-,-
Amp_240,0.42603333333333,0.49703333333333,0.54303333333333,0.74003333333333,0.86703333333333,-,-
Amp_230,0.25203333333333,0.30103333333333,0.34103333333333,0.47403333333333,0.67303333333333,-,-
Tet_132,0.10485714285714,0.12885714285714,0.15785714285714,0.23285714285714,0.33785714285714,-,-
Tet_135,0.10985714285714,0.13285714285714,0.15485714285714,0.21785714285714,0.31185714285714,-,-
Tet_106,0.11385714285714,0.14685714285714,0.17985714285714,0.27185714285714,0.36785714285714,-,-
Tet_101,0.24685714285714,0.28885714285714,0.33785714285714,0.38685714285714,0.46885714285714,-,-
Tet_82,0.00285714285714,0.00385714285714,0.00685714285714,0.04785714285714,0.12985714285714,-,-
Tet_80,0.08785714285714,0.11385714285714,0.13885714285714,0.20985714285714,0.26585714285714,-,-
Tet_86,0.26285714285714,0.33885714285714,0.41285714285714,0.57085714285714,0.89185714285714,-,-
Tet_85,0.12085714285714,0.15985714285714,0.21685714285714,0.36185714285714,0.48485714285714,-,-
Tet_141,0.04185714285714,0.07785714285714,0.12185714285714,0.21185714285714,0.35785714285714,-,-
Tet_168,0.30385714285714,0.34985714285714,0.42085714285714,0.58385714285714,0.65685714285714,-,-
Tet_172,0.21985714285714,0.26185714285714,0.28585714285714,0.36085714285714,0.48885714285714,-,-
Tet_162,0.14785714285714,0.20885714285714,0.27785714285714,0.42485714285714,0.65385714285714,-,-
Tet_167,0.27885714285714,0.32685714285714,0.40785714285714,0.50285714285714,0.65385714285714,-,-
Tet_118,0.07285714285714,0.13385714285714,0.17085714285714,0.28585714285714,0.59185714285714,-,-
Tet_120,0.19385714285714,0.22385714285714,0.27685714285714,0.43385714285714,0.58285714285714,-,-
Tet_88,0.38985714285714,0.40885714285714,0.48285714285714,0.57985714285714,0.49785714285714,-,-
Tet_91,0.36285714285714,0.39685714285714,0.49485714285714,0.62785714285714,0.57085714285714,-,-
Tet_169,0.07285714285714,0.10085714285714,0.11785714285714,0.16085714285714,0.22385714285714,-,-
Tet_110,0.15885714285714,0.21085714285714,0.26985714285714,0.43285714285714,0.66085714285714,-,-
Tet_93,0.24685714285714,0.27385714285714,0.30885714285714,0.39385714285714,0.58385714285714,-,-
Tet_99,0.12685714285714,0.16985714285714,0.23085714285714,0.37385714285714,0.53685714285714,-,-
Tet_150,0.20785714285714,0.24185714285714,0.26285714285714,0.39085714285714,0.51485714285714,-,-
Tet_153,0.23385714285714,0.30585714285714,0.27685714285714,0.43885714285714,0.65085714285714,-,-
Tet_139,0.23085714285714,0.28085714285714,0.31585714285714,0.42285714285714,0.60485714285714,-,-
Tet_157,0.34485714285714,0.37785714285714,0.39385714285714,0.51285714285714,0.55785714285714,-,-
Tet_171,0.04085714285714,0.09785714285714,0.14585714285714,0.29585714285714,0.46985714285714,-,-
Tet_144,0.05985714285714,0.11585714285714,0.16085714285714,0.28885714285714,0.44285714285714,-,-
Tet_103,0.24985714285714,0.32285714285714,0.37785714285714,0.48085714285714,0.69385714285714,-,-
Tet_87,0.09085714285714,0.11785714285714,0.17085714285714,0.30585714285714,0.50185714285714,-,-
Tet_149,0.07985714285714,0.10785714285714,0.16085714285714,0.30285714285714,0.48585714285714,-,-
Tet_102,0.11385714285714,0.15385714285714,0.19185714285714,0.30385714285714,0.45485714285714,-,-
Tet_166,0.11885714285714,0.15985714285714,0.20085714285714,0.31585714285714,0.44485714285714,-,-
Tet_151,0.19985714285714,0.25185714285714,0.27985714285714,0.33085714285714,0.38485714285714,-,-
Tet_123,0.20685714285714,0.26085714285714,0.30985714285714,0.38085714285714,0.43885714285714,-,-
Tet_124,0.12085714285714,0.15585714285714,0.18985714285714,0.28185714285714,0.40385714285714,-,-
Tet_77,0.09385714285714,0.14685714285714,0.19285714285714,0.28585714285714,0.40385714285714,-,-
Tet_148,0.11385714285714,0.13485714285714,0.15985714285714,0.22585714285714,0.32585714285714,-,-
Tet_114,0.16885714285714,0.21285714285714,0.24485714285714,0.34285714285714,0.39685714285714,-,-
Tet_115,0.10285714285714,0.16785714285714,0.22685714285714,0.37785714285714,0.44085714285714,-,-
Tet_163,0.16085714285714,0.23485714285714,0.29285714285714,0.41685714285714,0.64785714285714,-,-
Tet_164,0.11585714285714,0.17285714285714,0.19385714285714,0.26585714285714,0.34585714285714,-,-
Tet_121,0.07285714285714,0.11185714285714,0.14285714285714,0.23185714285714,0.35885714285714,-,-
Tet_154,0.18785714285714,0.27785714285714,0.34985714285714,0.49785714285714,0.58885714285714,-,-
Tet_131,0.35785714285714,0.39885714285714,0.41285714285714,0.51785714285714,0.56085714285714,-,-
Tet_116,0.07085714285714,0.11485714285714,0.15085714285714,0.22185714285714,0.34485714285714,-,-
Tet_128,0.02485714285714,0.04985714285714,0.08185714285714,0.18785714285714,0.30685714285714,-,-
Tet_130,0.02685714285714,0.05285714285714,0.08085714285714,0.18085714285714,0.29485714285714,-,-
Tet_127,0.00185714285714,0.00685714285714,0.01585714285714,0.10185714285714,0.25785714285714,-,-
Tet_170,0.23085714285714,0.33685714285714,0.40685714285714,0.52685714285714,0.62685714285714,-,-
Tet_111,0.06685714285714,0.10885714285714,0.15685714285714,0.29485714285714,0.44985714285714,-,-
Tet_96,0.11085714285714,0.17385714285714,0.23285714285714,0.35785714285714,0.46385714285714,-,-
Tet_119,0.22385714285714,0.32685714285714,0.41985714285714,0.56585714285714,0.66885714285714,-,-
Tet_161,0.17385714285714,0.24285714285714,0.31185714285714,0.41485714285714,0.50685714285714,-,-
Tet_95,0.11085714285714,0.17785714285714,0.23385714285714,0.32185714285714,0.38385714285714,-,-
Tet_133,0.10685714285714,0.13085714285714,0.16185714285714,0.29785714285714,0.31985714285714,-,-
Tet_90,0.12685714285714,0.19085714285714,0.24885714285714,0.38885714285714,0.54385714285714,-,-
Tet_174,0.24385714285714,0.24285714285714,0.26785714285714,0.46385714285714,0.66785714285714,-,-
Tet_173,0.09785714285714,0.13085714285714,0.17585714285714,0.29585714285714,0.43085714285714,-,-
Tet_178,0.25685714285714,0.26285714285714,0.31685714285714,0.46085714285714,0.57085714285714,-,-
Tet_194,0.14485714285714,0.15985714285714,0.19685714285714,0.25785714285714,0.31085714285714,-,-
Tet_220,0.21485714285714,0.24985714285714,0.29485714285714,0.48185714285714,0.78685714285714,-,-
Tet_219,0.25985714285714,0.29485714285714,0.33585714285714,0.52685714285714,0.62785714285714,-,-
Cam_199,0.23585714285714,0.30485714285714,0.32585714285714,0.46885714285714,0.55285714285714,-,-
Cam_204,0.25585714285714,0.35485714285714,0.31285714285714,0.49385714285714,0.50885714285714,-,-
Cam_201,0.19985714285714,0.25585714285714,0.31985714285714,0.46785714285714,0.61385714285714,-,-
Cam_194,0.27185714285714,0.28585714285714,0.34185714285714,0.51285714285714,0.67885714285714,-,-
Cam_180,0.27085714285714,0.30385714285714,0.40085714285714,0.63685714285714,0.77985714285714,-,-
Cam_189,0.17685714285714,0.26885714285714,0.27485714285714,0.39485714285714,0.55485714285714,-,-
Cam_170,0.31685714285714,0.34585714285714,0.39785714285714,0.48685714285714,0.59685714285714,-,-
Cam_184,0.22085714285714,0.23485714285714,0.24885714285714,0.33485714285714,0.51285714285714,-,-
Cam_177,0.25185714285714,0.29985714285714,0.28885714285714,0.48285714285714,0.67785714285714,-,-
Cam_157,0.24085714285714,0.28185714285714,0.33185714285714,0.46485714285714,0.53085714285714,-,-
Cam_156,0.31785714285714,0.36185714285714,0.39385714285714,0.58485714285714,0.65485714285714,-,-
Cam_179,0.36885714285714,0.40485714285714,0.44185714285714,0.50485714285714,0.47885714285714,-,-
Cam_166,0.22085714285714,0.25685714285714,0.28885714285714,0.38585714285714,0.43985714285714,-,-
Cam_159,0.32585714285714,0.36485714285714,0.41185714285714,0.49785714285714,0.69385714285714,-,-
Cam_163,0.43585714285714,0.48385714285714,0.56585714285714,0.61785714285714,0.71385714285714,-,-
Cam_192,0.26485714285714,0.28085714285714,0.32785714285714,0.42185714285714,0.62185714285714,-,-
Tet_199,0.21385714285714,0.25685714285714,0.30185714285714,0.39685714285714,0.54985714285714,-,-
Tet_210,0.12585714285714,0.16985714285714,0.21085714285714,0.32985714285714,0.52085714285714,-,-
Tet_215,0.18685714285714,0.23785714285714,0.28685714285714,0.41185714285714,0.54985714285714,-,-
Kan_229,0.01782857142857,0.03882857142857,0.05682857142857,0.12082857142857,0.08082857142857,0.19082857142857,
Kan_259,0.06482857142857,0.11482857142857,0.15482857142857,0.26582857142857,0.24182857142857,0.32682857142857,
Kan_236,-0.01217142857143,-0.01117142857143,-0.01017142857143,0.00382857142857,0.05182857142857,0.09482857142857,
Kan_242,0.03382857142857,0.08082857142857,0.12382857142857,0.21282857142857,0.29482857142857,0.38382857142857,
Kan_247,0.07882857142857,0.12782857142857,0.17082857142857,0.28182857142857,0.24082857142857,0.33482857142857,
Kan_243,0.03982857142857,0.08782857142857,0.14182857142857,0.25282857142857,0.27582857142857,0.27182857142857,
