Isolaadid,zb-1,zb-2,zb-3,zb-4,zb-5,zb-6,zb-7
Kan_13,0.07162857142857,0.11062857142857,0.15662857142857,0.33362857142857,0.44562857142857,0.52662857142857,-
Kan_22,0.14762857142857,0.19262857142857,0.25662857142857,0.53562857142857,0.68662857142857,0.72762857142857,-
Kan_9,0.09962857142857,0.14162857142857,0.17962857142857,0.30262857142857,0.37062857142857,0.44362857142857,-
Tet_1,0.31262857142857,0.34162857142857,0.37262857142857,0.40762857142857,0.22362857142857,0.31262857142857,-
Kan_15,0.18662857142857,0.28662857142857,0.35962857142857,0.49562857142857,0.61262857142857,0.55962857142857,-
Tet_5,0.31462857142857,0.38162857142857,0.43362857142857,0.67362857142857,0.53562857142857,0.48062857142857,-
Tet_15,0.22165714285714,0.28865714285714,0.35065714285714,0.62865714285714,0.72765714285714,0.80665714285714,-
Tet_17,0.27965714285714,0.27065714285714,0.35865714285714,0.57865714285714,0.59865714285714,0.68065714285714,-
Tet_3,0.14565714285714,0.24765714285714,0.33265714285714,0.41165714285714,0.39465714285714,0.41865714285714,-
Kan_5,0.10665714285714,0.14465714285714,0.15765714285714,0.19665714285714,0.11565714285714,0.22365714285714,-
Kan_19,0.16765714285714,0.23265714285714,0.28565714285714,0.33865714285714,0.33365714285714,0.32265714285714,-
Tet_2,0.32965714285714,0.39265714285714,0.41965714285714,0.45265714285714,0.44865714285714,0.43765714285714,-
Kan_32,0.18465714285714,0.26765714285714,0.35265714285714,0.45365714285714,0.46465714285714,0.66465714285714,-
Cam_16,0.17165714285714,0.21565714285714,0.25465714285714,0.36465714285714,0.43365714285714,0.48365714285714,-
Tet_13,0.30065714285714,0.43065714285714,0.50665714285714,0.66065714285714,0.66565714285714,0.92165714285714,-
Cam_13,0.21065714285714,0.29365714285714,0.33565714285714,0.45765714285714,0.53965714285714,0.55165714285714,-
Cam_19,0.18565714285714,0.29165714285714,0.39565714285714,0.69265714285714,0.66965714285714,0.73465714285714,-
Kan_23,0.19465714285714,0.28765714285714,0.37565714285714,0.50365714285714,0.52365714285714,0.57365714285714,-
Tet_14,0.06165714285714,0.08565714285714,0.11165714285714,0.19565714285714,0.26165714285714,0.42565714285714,-
Cam_9,0.31265714285714,0.37565714285714,0.41965714285714,0.60965714285714,0.69965714285714,0.81665714285714,-
Tet_4,0.28865714285714,0.35865714285714,0.39065714285714,0.50465714285714,0.52265714285714,0.52865714285714,-
Amp_27,0.31765714285714,0.43565714285714,0.42765714285714,0.64165714285714,0.61165714285714,0.49465714285714,-
Kan_1,0.24065714285714,0.31865714285714,0.37465714285714,0.51265714285714,0.60665714285714,0.60965714285714,-
Amp_17,0.26165714285714,0.35865714285714,0.44365714285714,0.62265714285714,0.74965714285714,0.80865714285714,-
Amp_2,0.18665714285714,0.18865714285714,0.20165714285714,0.28265714285714,0.30965714285714,0.31165714285714,-
Amp_18,0.29665714285714,0.35965714285714,0.41165714285714,0.56365714285714,0.57665714285714,0.66565714285714,-
Amp_19,0.13365714285714,0.17165714285714,0.23165714285714,0.31365714285714,0.28565714285714,0.18765714285714,-
Amp_20,0.20365714285714,0.28265714285714,0.21565714285714,0.34165714285714,0.46665714285714,0.52465714285714,-
Amp_21,0.12565714285714,0.19465714285714,0.20065714285714,0.24065714285714,0.10965714285714,0.19765714285714,-
Amp_22,0.17965714285714,0.19365714285714,0.20665714285714,0.31565714285714,0.32165714285714,0.37065714285714,-
Amp_1,0.36565714285714,0.45665714285714,0.47865714285714,0.66665714285714,0.63465714285714,0.62865714285714,-
Amp_23,0.15165714285714,0.17365714285714,0.22365714285714,0.26365714285714,0.31065714285714,0.36165714285714,-
Amp_28,0.23165714285714,0.29665714285714,0.40265714285714,0.57365714285714,0.63265714285714,0.84065714285714,-
